,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1997-03-31,271.5049967722531,17.164112873364587,,16.84442922464633,,12.466821701655121,,16.35701720631871,,14.289614301849747,,14.303696428950378,,13.147784532455503
1997-04-30,283.5643295849359,17.656144359921868,,17.076215398100757,,12.487753609972609,,16.686235657948167,,14.511994575093219,,14.444077670600697,,13.331279079271992
1997-05-31,295.26416782328005,18.13860298038144,,17.384210200029525,,12.643132819209734,,17.101380984451364,,14.776443069231274,,14.714874759747353,,13.646486673304866
1997-06-30,305.5044318283344,18.470220995027226,,17.616735084389173,,12.585155192045521,,17.33033524033545,,14.993301866085508,,14.866731500652675,,13.814309766635823
1997-07-31,325.670923525575,19.379860753761978,,18.299317411662052,,12.742158851866765,,18.072286830590816,,15.536102471361119,,15.323087936500672,,14.305182718433612
1997-08-31,311.7782767393891,18.816022312273205,,17.85052530543095,,12.59604895523674,,17.608931003281683,,15.151147118395919,,14.87515191293278,,13.821833571564987
1997-09-30,325.0996860048788,19.4261341350577,,18.334606570278062,,12.80097600612167,,18.217817841778505,,15.53922414114312,,15.220790473363742,,14.171262541170139
1997-10-31,321.11558350079616,19.402715646304856,,17.91239088604852,,12.486873022310169,,17.697221084304438,,15.244602239455617,,14.717945468638497,,13.69832870999426
1997-11-30,330.8884991209246,19.616501483240555,,17.937835699939008,,12.223952801519225,,17.812583904239233,,15.277056164862547,,14.640230797981646,,13.66975712179777
1997-12-31,336.0555788002852,19.781480242949463,,18.11794748522946,,12.108042436258433,,18.039190868498437,,15.404809846231585,,14.69425223438971,,13.694570774730979
1998-01-31,341.14799554680974,20.139092950999192,1.0,18.502442108420848,,12.318001965630085,,18.41596077588411,,15.733496554099174,,15.131413987799467,,14.068162780585956
1998-02-28,355.5673669381115,20.428731785045887,1.0,18.71522595681811,,12.308001240971317,,18.786505100434525,,15.947606777955587,,15.149987868299686,,14.233994620801635
1998-03-31,366.8931473657813,20.7851932548494,1.0,19.02587579264637,,12.425237284576351,,19.19533850571949,,16.20697902688694,,15.311140462701845,,14.454743441118747
1998-04-30,369.75078330780684,20.911053924822248,1.0,19.085395646489488,,12.498534458743894,,19.232211006203737,,16.29549885921606,,15.389783294658862,,14.560266822444738
1998-05-31,367.64852996851465,20.80293210944759,1.0,19.15401164689765,,12.430651110481287,,19.229362343073127,,16.371648818679276,,15.278867211292585,,14.439680325505527
1998-06-30,378.8142365124438,21.200370127706357,1.0,19.26800612017951,,12.431656210277582,,19.342243392885106,,16.50214527183507,,15.405625440974339,,14.618072059764486
