DATE,BAB
04/06/1933,-0.013856703
04/07/1933,0.008144315
04/08/1933,-0.013751562
04/10/1933,-0.030278605
04/11/1933,0.001539891
04/12/1933,0.034628027
04/13/1933,-0.010516834
04/14/1933,0
04/15/1933,0.000843053
04/17/1933,0.014892618
04/18/1933,-0.013721605
04/19/1933,-0.018208239
04/20/1933,-0.014046898
04/21/1933,0.032923893
04/22/1933,-0.028199949
04/24/1933,0.021117775
04/25/1933,0.007776749
04/26/1933,-0.014584513
04/27/1933,0.015521327
04/28/1933,-0.011987015
04/29/1933,-0.032795564
05/01/1933,0.012071501
05/02/1933,-0.006040466
05/03/1933,-0.005042858
05/04/1933,-0.009360692
05/05/1933,0.013606712
05/06/1933,0.015545697
05/08/1933,0.005817227
05/09/1933,0.001310247
05/10/1933,-0.0089004
05/11/1933,0.019882431
05/12/1933,-0.003352356
05/13/1933,0.01369884
05/15/1933,-0.000896149
05/16/1933,-0.011563334
05/17/1933,0.012296705
05/18/1933,0.007889998
05/19/1933,0.03953824
05/20/1933,0.010832804
05/22/1933,-0.016387691
05/23/1933,-0.020186843
05/24/1933,0.017018448
05/25/1933,0.044070692
05/26/1933,-0.002827819
05/27/1933,0.016563069
05/29/1933,0.016074315
05/30/1933,0
05/31/1933,0.014329773
06/01/1933,-0.018244218
06/02/1933,-0.018311158
06/03/1933,0.005179787
06/05/1933,0.019597862
06/06/1933,0.03148704
06/07/1933,0.023040889
06/08/1933,0.004202504
06/09/1933,0.015590026
06/10/1933,0.022405596
06/12/1933,-0.001997304
06/13/1933,0.017321064
06/14/1933,-0.036503397
06/15/1933,0.020229952
06/16/1933,-0.022903087
06/17/1933,-0.000225605
06/19/1933,0.017182586
06/20/1933,-0.002533216
06/21/1933,0.017040846
06/22/1933,0.010013813
06/23/1933,-0.019890748
06/24/1933,0.016678105
06/26/1933,-0.010435126
06/27/1933,0.020404323
06/28/1933,0.005208079
06/29/1933,-0.005172509
06/30/1933,0.006302189
07/01/1933,-0.0163848
07/03/1933,-0.004623902
07/04/1933,0
07/05/1933,-0.001848937
07/06/1933,-0.004312684
07/07/1933,-0.008885474
07/08/1933,0.008471525
07/10/1933,0.001103297
07/11/1933,0.012351567
07/12/1933,0.002466504
07/13/1933,0.000856663
07/14/1933,0.001790972
07/15/1933,0.002333344
07/17/1933,0.002199638
07/18/1933,0.009360231
07/19/1933,0.012208611
07/20/1933,0.014256756
07/21/1933,-0.011288652
07/22/1933,-0.030431701
07/24/1933,-0.013003239
07/25/1933,0.004349901
07/26/1933,-0.01115352
07/27/1933,0.00433372
07/28/1933,0.004348624
07/31/1933,-0.00038638
08/01/1933,-0.018508346
08/02/1933,0.007760678
08/03/1933,0.007074024
08/04/1933,0.011250117
08/07/1933,-0.003455622
08/08/1933,-0.015745972
08/09/1933,-0.002719186
08/10/1933,0.019549217
08/11/1933,-0.002977839
08/14/1933,-0.005599899
08/15/1933,-0.005886321
08/16/1933,0.012386265
08/17/1933,-0.016741068
08/18/1933,0.017255968
08/21/1933,-0.008731972
08/22/1933,0.001043072
08/23/1933,0.008387929
08/24/1933,-0.008744122
08/25/1933,-0.005015839
08/28/1933,-0.000832881
08/29/1933,0.010218671
08/30/1933,0.003534735
08/31/1933,0.006928719
09/01/1933,0.000732372
09/04/1933,0
09/05/1933,0.009852182
09/06/1933,-0.000885804
09/07/1933,-0.000141696
09/08/1933,0.005087207
09/09/1933,-0.005249816
09/11/1933,-0.012002574
09/12/1933,-0.002877375
09/13/1933,0.001217034
09/14/1933,0.005173843
09/15/1933,0.016901779
09/16/1933,-0.005215872
09/18/1933,0.010774709
09/19/1933,-0.002697269
09/20/1933,0.014877608
09/21/1933,0.011911508
09/22/1933,-0.013425852
09/23/1933,-0.001230197
09/25/1933,0.005190819
09/26/1933,-0.000571593
09/27/1933,-0.002341136
09/28/1933,-0.002560832
09/29/1933,0.004125566
09/30/1933,-0.003226677
10/02/1933,0.003736469
10/03/1933,0.00129036
